City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Campinas,UberX,COMPLETED,2022-12-03 13:28:36 +0000 UTC,2022-12-03 13:32:31 +0000 UTC,-23.149641,-46.85161,"Avenida Alexandre Milani & Travessa Molinari - Caxambú - Jundiaí - SP, 13218",2022-12-03 13:37:51 +0000 UTC,-23.121563,-46.853943,"Rua Albino Mamede Martins - Jardim Solar, Jundiaí - SP, 13216-155, Brazil",2.22,12.94,BRL
Campinas,UberX,CANCELED,2022-12-03 13:27:09 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",0.00,0,BRL
Campinas,UberX,COMPLETED,2022-11-20 15:46:33 +0000 UTC,2022-11-20 15:48:55 +0000 UTC,-23.195053,-46.872673,Jundiaí CPTM Station,2022-11-20 16:04:14 +0000 UTC,-23.121334,-46.85405,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",7.58,24.91,BRL
Sao Paulo,UberX,COMPLETED,2022-11-13 06:11:40 +0000 UTC,2022-11-13 06:15:38 +0000 UTC,-23.444572,-46.505272,"Rua Naief Jamb, 58 - Vila Barros - Guarulhos - SP, 07194-453",2022-11-13 06:29:34 +0000 UTC,-23.425722,-46.479748,"Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",6.08,24.92,BRL
Campinas,UberX,COMPLETED,2022-10-22 14:04:43 +0000 UTC,2022-10-22 14:09:56 +0000 UTC,-23.179369,-46.92198,"Rua Tocantins, 97 - Jundiaí - Jundiaí - SP, 13211-818",2022-10-22 14:20:01 +0000 UTC,-23.169823,-46.891373,"Av. Antônio Frederico Ozanam, 6.000 - Vila Rio Branco - Jundiaí - SP, 13215-900",3.40,13.91,BRL
Campinas,UberX,COMPLETED,2022-10-17 11:50:28 +0000 UTC,2022-10-17 11:55:06 +0000 UTC,-23.207205,-46.89562,Terminal Rodoviário Jundiaí,2022-10-17 12:10:24 +0000 UTC,-23.121508,-46.854,"Tv. 01, 20-90 - Chácaras Maltoni, Jundiaí - SP, 13218, Brazil",10.15,24.94,BRL
Blumenau,UberX,CANCELED,2022-10-13 02:12:10 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,"Rua Frei Estanislau Schaette, 59 - Velha - Blumenau - SC, 89053-516",0.00,0,BRL
Blumenau,UberX,CANCELED,2022-10-13 02:03:04 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-26.925999,-49.120037,"Rua dos Caçadores, 2206 - Velha Central - Blumenau - SC, 89040-232",1970-01-01 00:00:00 +0000 UTC,-26.91811299324036,-49.09004342556,"Rua Frei Estanislau Schaette, 59 - Velha - Blumenau - SC, 89053-516",0.00,7.51,BRL
Blumenau,UberX,COMPLETED,2022-10-12 11:47:19 +0000 UTC,2022-10-12 11:50:45 +0000 UTC,-26.912157,-49.07234,"R. Gáspar, 82 - Victor Konder, Blumenau - SC, 89012-120, Brazil",2022-10-12 12:01:48 +0000 UTC,-26.910957,-49.09336,"Rua Frei Estanislau Schaette, 59 - Água Verde, Blumenau - SC, 89037-001, Brazil",3.26,13.78,BRL
Blumenau,UberX,COMPLETED,2022-10-12 01:34:34 +0000 UTC,2022-10-12 01:37:43 +0000 UTC,-26.910976,-49.093113,"R. Frei Estanislau Schaette Sala 01, 50 - Agua Verde - Blumenau - SC, 89037-000",2022-10-12 01:42:21 +0000 UTC,-26.913437,-49.085365,"R. Alberto Stein, 199 - Velha, Blumenau - SC, 89036-200, Brazil",0.56,9.93,BRL
